link_id_tmc,corridor_id,corridor_link_order,from_node_id,to_node_id,time_period,date,geometry,volume,travel_time,speed,reference_speed,density,queue,notes
0,Corridor-1,29,100000001,100000002,1410_1415,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1415_1420,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1420_1425,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1425_1430,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1430_1435,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1435_1440,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1440_1445,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1445_1450,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1450_1455,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1455_1500,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1500_1505,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1505_1510,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1510_1515,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1515_1520,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
0,Corridor-1,29,100000001,100000002,1520_1525,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1038,,70,,0,,
